iter	RMSE
0	112390.7903
1	109380.8069
2	106611.7963
3	104178.6394
4	101742.2431
5	99498.27786
6	97412.70739
7	95480.08822
8	93672.58132
9	92004.533
10	90484.46142
11	89066.4215
12	87785.59602
13	86580.38322
14	85503.20372
15	84472.25906
16	83522.59116
17	82673.99913
18	81855.05422
19	81098.77338
20	80411.83361
21	79772.50566
22	79188.80681
23	78669.94003
24	78184.58633
25	77744.55603
26	77347.03165
27	76981.27238
28	76623.4571
29	76303.64727
30	76017.88779
31	75758.1176
32	75509.47479
33	75278.73754
34	75063.40457
35	74862.31745
36	74671.16428
37	74503.97578
38	74350.1731
39	74203.80749
40	74067.47692
41	73959.97418
42	73838.82804
43	73732.81708
44	73639.90131
45	73553.39425
46	73471.5335
47	73387.44902
48	73315.6322
49	73245.1002
50	73181.46133
51	73118.5081
52	73063.21307
53	73015.65811
54	72974.47608
55	72920.75032
56	72869.74044
57	72833.08792
58	72801.85372
59	72761.52166
60	72726.41441
61	72701.74958
62	72668.13138
63	72646.41781
64	72626.24615
65	72603.25541
66	72579.17189
67	72564.23336
68	72542.31468
69	72517.90548
70	72500.70053
71	72488.56014
72	72475.69217
73	72458.95219
74	72443.06395
75	72430.63755
76	72417.25959
77	72406.17935
78	72394.10208
79	72386.46055
80	72370.48586
81	72357.67361
82	72347.45121
83	72338.86374
84	72328.56045
85	72318.27708
86	72310.481
87	72303.48737
88	72294.7288
89	72284.97821
90	72279.26343
91	72271.41928
92	72265.68809
93	72260.61528
94	72259.39448
95	72254.30415
96	72249.27317
97	72245.92932
98	72237.73439
99	72233.0008
