iter	Passed	Remaining
0	117	11612
1	119	5862
2	121	3941
3	124	2981
4	126	2408
5	129	2021
6	131	1744
7	133	1535
8	135	1372
9	138	1242
10	140	1136
11	142	1047
12	145	972
13	147	906
14	149	849
15	152	799
16	155	756
17	157	717
18	159	681
19	161	647
20	164	617
21	166	590
22	168	564
23	171	542
24	173	520
25	175	500
26	178	481
27	180	463
28	182	446
29	184	431
30	187	417
31	189	403
32	192	390
33	194	377
34	196	365
35	199	354
36	201	343
37	204	333
38	206	323
39	209	313
40	211	304
41	213	295
42	216	286
43	218	278
44	221	270
45	223	262
46	225	254
47	228	247
48	230	239
49	233	233
50	235	226
51	237	219
52	240	212
53	242	206
54	244	200
55	247	194
56	249	188
57	252	182
58	254	176
59	256	171
60	259	165
61	261	160
62	264	155
63	266	150
64	269	144
65	271	139
66	273	134
67	275	129
68	278	125
69	280	120
70	282	115
71	285	110
72	287	106
73	289	101
74	292	97
75	294	92
76	296	88
77	299	84
78	301	80
79	303	75
80	305	71
81	308	67
82	311	63
83	313	59
84	316	55
85	318	51
86	320	47
87	322	44
88	325	40
89	328	36
90	330	32
91	333	28
92	335	25
93	338	21
94	340	17
95	342	14
96	345	10
97	347	7
98	350	3
99	352	0
