iter	MultiClass
0	1.089591217
1	1.081839708
2	1.07449335
3	1.067859675
4	1.061914428
5	1.055900042
6	1.050327566
7	1.044724581
8	1.041173941
9	1.037833458
10	1.034761354
11	1.031242422
12	1.027415844
13	1.024432046
14	1.021357028
15	1.018619929
16	1.016136791
17	1.013502268
18	1.01135089
19	1.008057854
20	1.005609449
21	1.003618465
22	1.001328912
23	1.000157967
24	0.9980807165
25	0.99648017
26	0.994953028
27	0.9927016144
28	0.9908160155
29	0.9888610515
30	0.9869356726
31	0.9850801796
32	0.9832960052
33	0.9809526102
34	0.9791979057
35	0.9774752509
36	0.9744297296
37	0.9723989025
38	0.9709323034
39	0.9694492886
40	0.9680293444
41	0.9666737947
42	0.9648395306
43	0.9626884296
44	0.9608573303
45	0.9594395908
46	0.9582161703
47	0.9571357411
48	0.9548224122
49	0.9536560579
50	0.9515530671
51	0.9501402715
52	0.9482482308
53	0.9463073922
54	0.9452151876
55	0.9433087978
56	0.9420657548
57	0.9402797457
58	0.9381799218
59	0.9366135826
60	0.9353083206
61	0.9334889166
62	0.9323680126
63	0.9308298126
64	0.9299101504
65	0.9283671366
66	0.9268585207
67	0.9248861326
68	0.9228743138
69	0.9209166992
70	0.9195717323
71	0.9185128604
72	0.9167963442
73	0.9154757649
74	0.9141664049
75	0.912253052
76	0.9103754631
77	0.9092564994
78	0.9082987255
79	0.9073063207
80	0.9058847467
81	0.9045347908
82	0.9029423958
83	0.9014522502
84	0.9001022531
85	0.8983285531
86	0.8967680696
87	0.8953500312
88	0.8933846668
89	0.8916779287
90	0.8896376053
91	0.8877730758
92	0.8863599909
93	0.8849408656
94	0.8838705532
95	0.8821557257
96	0.8798630917
97	0.8782065587
98	0.8768924751
99	0.8755377508
100	0.8736317443
101	0.8718191844
102	0.8698971473
103	0.8686777565
104	0.8676167146
105	0.8662742845
106	0.8646009582
107	0.8631121573
108	0.861241798
109	0.859600425
110	0.8585522808
111	0.8567772892
112	0.8549907807
113	0.8530622311
114	0.8512033954
115	0.8493709347
116	0.8479392505
117	0.8463590515
118	0.8452428067
119	0.8434066789
120	0.8411204239
121	0.8389168226
122	0.8368667937
123	0.8355871496
124	0.8344036802
125	0.8325283353
126	0.8314613145
127	0.8297509758
128	0.8278159995
129	0.8262690893
130	0.8251978869
131	0.8245282994
132	0.8229473266
133	0.8215936782
134	0.8202586419
135	0.8183849093
136	0.8163872784
137	0.8144076796
138	0.8133741612
139	0.8112911862
140	0.8093476706
141	0.8087023949
142	0.8071433952
143	0.8059353682
144	0.8046147225
145	0.8033383152
146	0.8021654854
147	0.8004729428
148	0.7990449481
149	0.7976280665
150	0.7964172082
151	0.7939903161
152	0.7925482323
153	0.7911023731
154	0.7889009923
155	0.7875171133
156	0.7863192107
157	0.7842504318
158	0.7836927097
159	0.7816399372
160	0.7807209469
161	0.7794196065
162	0.7780624588
163	0.7770853388
164	0.7758024016
165	0.7745591877
166	0.7729075066
167	0.7714049366
168	0.7700205791
169	0.768852247
170	0.7675990396
171	0.7658650737
172	0.7643648507
173	0.7636788182
174	0.7627391268
175	0.7622200719
176	0.7606800129
177	0.7592431489
178	0.7576833603
179	0.7561016721
180	0.7537449569
181	0.7519387797
182	0.750890538
183	0.7500384936
184	0.7490284672
185	0.7479695242
186	0.7464072223
187	0.7453664443
188	0.7445482928
189	0.7435712585
190	0.7425280198
191	0.7411196121
192	0.7398920952
193	0.7391918434
194	0.7380948674
195	0.7368667095
196	0.7359338323
197	0.7352782379
198	0.7345624504
199	0.7335015854
200	0.7321185672
201	0.731185346
202	0.7295111216
203	0.7279567721
204	0.7270052695
205	0.7258436329
206	0.7243422747
207	0.7224899583
208	0.7211381191
209	0.7198944486
210	0.7185562498
211	0.7171215902
212	0.7154071089
213	0.7144310459
214	0.713089362
215	0.7119687614
216	0.7110457598
217	0.7096270825
218	0.708050164
219	0.7067137985
220	0.7058438569
221	0.704396305
222	0.7031612957
223	0.7023821767
224	0.7009751772
225	0.6994486671
226	0.6981327481
227	0.6963666149
228	0.6954045298
229	0.6942263202
230	0.6928273342
231	0.6919478892
232	0.6906069193
233	0.689638567
234	0.6883300178
235	0.6877061615
236	0.686337247
237	0.6852394495
238	0.6832964369
239	0.6817742324
240	0.6800259532
241	0.6785044375
242	0.6772537955
243	0.6761772968
244	0.6749575662
245	0.6732420379
246	0.6728178448
247	0.6716343328
248	0.6702323196
249	0.6688291294
250	0.6674291874
251	0.665808961
252	0.664496365
253	0.6640632424
254	0.6628613383
255	0.6615962664
256	0.6607670095
257	0.6593907399
258	0.6584053061
259	0.6575593759
260	0.6565724071
261	0.6556770677
262	0.6544030824
263	0.6532978007
264	0.6519823078
265	0.6508722726
266	0.6499006093
267	0.6490834173
268	0.647989575
269	0.6470585122
270	0.6456324533
271	0.6450227075
272	0.6438678041
273	0.6423669305
274	0.6419248424
275	0.641173712
276	0.6397428726
277	0.6387144157
278	0.6371494649
279	0.6358133251
280	0.6351447653
281	0.6338426194
282	0.6325969705
283	0.63180626
284	0.6306737001
285	0.6297830088
286	0.628822635
287	0.6275778032
288	0.626938957
289	0.6257682133
290	0.6245434976
291	0.6231022516
292	0.62189588
293	0.6205905844
294	0.6198755426
295	0.6190723381
296	0.6176737921
297	0.6162668113
298	0.6152083236
299	0.6140114272
300	0.613175041
301	0.6126154901
302	0.6106542136
303	0.6093337543
304	0.608102921
305	0.6070055769
306	0.6057197017
307	0.6051565745
308	0.6040054902
309	0.6029194882
310	0.6019693229
311	0.6006408262
312	0.5991011404
313	0.5982257975
314	0.5965699043
315	0.5953486125
316	0.5943364272
317	0.5931080295
318	0.5918711925
319	0.5907264464
320	0.5903059248
321	0.5888318775
322	0.587782332
323	0.5867765845
324	0.5858291699
325	0.5851747778
326	0.5843293048
327	0.583383424
328	0.5817762012
329	0.5812187231
330	0.5800048721
331	0.5788075121
332	0.5780599314
333	0.5770056664
334	0.5759683922
335	0.5750422185
336	0.5742772598
337	0.5733888962
338	0.5718508342
339	0.5711915211
340	0.5701453072
341	0.569147985
342	0.5682134316
343	0.5674600293
344	0.5666802322
345	0.5656529484
346	0.5643809262
347	0.5635608642
348	0.5626241791
349	0.5618524816
350	0.5605908508
351	0.5594126423
352	0.5583980486
353	0.5577783891
354	0.5569977699
355	0.5557148004
356	0.5550378212
357	0.5541551738
358	0.5532185466
359	0.5525718762
360	0.5517244101
361	0.5504243206
362	0.5494547648
363	0.5486200999
364	0.5478940896
365	0.5471028804
366	0.5463045508
367	0.5455405775
368	0.5444257963
369	0.5432989172
370	0.5424926195
371	0.5416218202
372	0.5406057534
373	0.539942084
374	0.5388917878
375	0.5382085929
376	0.5373440334
377	0.5365206714
378	0.5355619607
379	0.5347621482
380	0.5336895536
381	0.5328950106
382	0.5317144936
383	0.5310410263
384	0.5302495243
385	0.5296023821
386	0.5291806048
387	0.5282604284
388	0.5274632401
389	0.5265176924
390	0.5255286572
391	0.5249735511
392	0.5239065588
393	0.5230547473
394	0.5220783841
395	0.5211292019
396	0.5203301857
397	0.5192060199
398	0.5184128259
399	0.5174848716
400	0.5166498893
401	0.5160237478
402	0.5149875635
403	0.5136158711
404	0.5126690163
405	0.5118053291
406	0.5108034245
407	0.5104720844
408	0.5094385712
409	0.5086913678
410	0.5082220655
411	0.5074196102
412	0.5069547485
413	0.5060216818
414	0.5052316934
415	0.5048012912
416	0.5034477196
417	0.5030211902
418	0.5022385619
419	0.5014884221
420	0.5007875569
421	0.4999491255
422	0.4992466722
423	0.4983976065
424	0.4973835914
425	0.4968174439
426	0.4962809104
427	0.4955112898
428	0.4948020342
429	0.4941912186
430	0.4936468906
431	0.4924775767
432	0.4917390599
433	0.4908862564
434	0.4899289315
435	0.489253117
436	0.4885202477
437	0.4875194683
438	0.4865008921
439	0.4855403384
440	0.4849457195
441	0.4843391008
442	0.4839051001
443	0.4827577751
444	0.4820837366
445	0.4811811702
446	0.4803182687
447	0.4798608742
448	0.4794168391
449	0.4785174895
450	0.4776806187
451	0.4769487642
452	0.4760362837
453	0.4751742723
454	0.4740926102
455	0.4733954478
456	0.4727805797
457	0.4721618847
458	0.4712294734
459	0.4702398877
460	0.4693902069
461	0.46854129
462	0.4678346005
463	0.4672382985
464	0.4664771103
465	0.4657362304
466	0.4651647483
467	0.4641337826
468	0.4628494244
469	0.4617528835
470	0.4609558025
471	0.4598788156
472	0.4589111691
473	0.4581692954
474	0.4574114982
475	0.4568840894
476	0.4562447314
477	0.4548866209
478	0.4536998103
479	0.4532238785
480	0.4526337191
481	0.4519038774
482	0.4513160197
483	0.4507991083
484	0.4498775163
485	0.4493442754
486	0.448855833
487	0.4481186806
488	0.4473157663
489	0.4465716099
490	0.4463108898
491	0.4453468251
492	0.444716641
493	0.4437145757
494	0.4426594723
495	0.4416429122
496	0.4406916215
497	0.4398154745
498	0.4392259824
499	0.4382668791
500	0.4378347187
501	0.4369176403
502	0.4360715776
503	0.4354258262
504	0.4346514014
505	0.4337476834
506	0.4329561634
507	0.4323698592
508	0.4316793367
509	0.4309875158
510	0.4299762805
511	0.4293888855
512	0.4287099864
513	0.4278352109
514	0.4271161871
515	0.4267476083
516	0.4262611457
517	0.4258673758
518	0.4253362913
519	0.4249120412
520	0.4240222027
521	0.4234703251
522	0.4230465296
523	0.4225862987
524	0.4217683098
525	0.4213212362
526	0.4207186732
527	0.4201035587
528	0.419494852
529	0.4188242542
530	0.4179496218
531	0.4171716867
532	0.4166425531
533	0.4160686882
534	0.4158207838
535	0.415502094
536	0.4147488687
537	0.4140814051
538	0.4132284398
539	0.4127984029
540	0.4124574439
541	0.412064467
542	0.4114690036
543	0.4107127782
544	0.4097267599
545	0.4090751248
546	0.4085257207
547	0.4079217305
548	0.4072734179
549	0.4063364494
550	0.405581821
551	0.404755905
552	0.4044249569
553	0.4038397059
554	0.4033157943
555	0.4024962397
556	0.4022692799
557	0.4021397161
558	0.401591724
559	0.4007499418
560	0.4002366999
561	0.3996178832
562	0.3990913383
563	0.3984896279
564	0.3981550467
565	0.3976824288
566	0.3969436624
567	0.3960560636
568	0.3958307718
569	0.3950391178
570	0.3947094208
571	0.393902041
572	0.393224207
573	0.3924625741
574	0.3920894355
575	0.3914945933
576	0.3909874506
577	0.3907682915
578	0.3901390511
579	0.389572819
580	0.3887763166
581	0.3881715705
582	0.3872267536
583	0.3863808893
584	0.3859194547
585	0.3856356661
586	0.3848399963
587	0.3842617978
588	0.3838183261
589	0.3831455036
590	0.3828121344
591	0.3822385444
592	0.3819074527
593	0.3813502335
594	0.3806478458
595	0.3800734126
596	0.3796050136
597	0.3791004919
598	0.3786132011
599	0.3782002803
600	0.3776112023
601	0.377005195
602	0.3766035123
603	0.3761322529
604	0.3757562866
605	0.3754355142
606	0.3748514251
607	0.3744597372
608	0.373815668
609	0.3734237064
610	0.3730959303
611	0.3726311667
612	0.3720405082
613	0.3716538328
614	0.3711500984
615	0.3706962148
616	0.3700097389
617	0.3693447311
618	0.3684955294
619	0.368121236
620	0.3675168947
621	0.3670009851
622	0.366388187
623	0.3660700429
624	0.3655084541
625	0.3648652543
626	0.3643251723
627	0.3638140182
628	0.3633701438
629	0.3628154997
630	0.3624182845
631	0.3618565332
632	0.3614003786
633	0.360906326
634	0.3601559935
635	0.3598697545
636	0.3591925161
637	0.3584544019
638	0.3577737526
639	0.3573771
640	0.3567091522
641	0.3561843891
642	0.3558756283
643	0.3553937169
644	0.3551552155
645	0.3546404363
646	0.3542003293
647	0.3535404874
648	0.3531472924
649	0.3527806003
650	0.3524174354
651	0.351840796
652	0.3512124806
653	0.3509394592
654	0.3506137167
655	0.35014567
656	0.3498250451
657	0.3493996543
658	0.3489883377
659	0.3483711823
660	0.3479733942
661	0.347538185
662	0.3471642828
663	0.346828863
664	0.3465166764
665	0.3460356036
666	0.3454053259
667	0.3451861085
668	0.3446808535
669	0.344250054
670	0.3439681911
671	0.3434305016
672	0.3430799638
673	0.342433646
674	0.3419057605
675	0.3414359844
676	0.3411421116
677	0.340494416
678	0.3402165096
679	0.3397932327
680	0.3391517461
681	0.338717509
682	0.3381886049
683	0.3376338954
684	0.3373597895
685	0.3369693285
686	0.3364500022
687	0.3359579263
688	0.3353387702
689	0.3349529131
690	0.3345382588
691	0.3340813547
692	0.3336845864
693	0.3335209806
694	0.3330209388
695	0.332597861
696	0.3321359798
697	0.3317167014
698	0.3314513104
699	0.3311567152
700	0.3308040013
701	0.3303675018
702	0.3296757417
703	0.329004785
704	0.3287175546
705	0.3283392231
706	0.3278202875
707	0.3272700538
708	0.3270452988
709	0.3266270638
710	0.3260157472
711	0.3253902514
712	0.3248874523
713	0.3244179456
714	0.3236452127
715	0.3231939887
716	0.3226178208
717	0.3220643666
718	0.3215180955
719	0.3208374932
720	0.3204559495
721	0.3201076433
722	0.3196558284
723	0.3189658139
724	0.3185918638
725	0.3180432383
726	0.3175305543
727	0.3169659587
728	0.316568981
729	0.3160553697
730	0.3159019228
731	0.3153306529
732	0.315022309
733	0.3146121028
734	0.3140938512
735	0.3134894445
736	0.3131150094
737	0.3125991568
738	0.3120948469
739	0.3119011241
740	0.3115962714
741	0.3109434364
742	0.3105191067
743	0.3102049771
744	0.3097885473
745	0.3093537621
746	0.3090799515
747	0.3087175595
748	0.3084463974
749	0.3080542562
750	0.3076076869
751	0.307141133
752	0.3067973532
753	0.306132833
754	0.305807014
755	0.3056725393
756	0.3052122056
757	0.3049213197
758	0.3044552907
759	0.3039742653
760	0.3036845471
761	0.3032791008
762	0.3029938355
763	0.3027612216
764	0.3023097502
765	0.3019099793
766	0.3014583043
767	0.3009446064
768	0.3006562209
769	0.3001135167
770	0.2996415345
771	0.2991461902
772	0.2986476276
773	0.2983226924
774	0.297568517
775	0.2969659453
776	0.2965099235
777	0.2961943051
778	0.2958332026
779	0.2956132532
780	0.2952551859
781	0.2948535617
782	0.2945405297
783	0.294022175
784	0.2935431361
785	0.2930249115
786	0.2928757038
787	0.2924708152
788	0.2919561593
789	0.2916170589
790	0.2912275002
791	0.2908396634
792	0.2904063528
793	0.2901180072
794	0.2898752141
795	0.2895937282
796	0.2891081619
797	0.2888016589
798	0.2881977655
799	0.2879328963
800	0.287456562
801	0.2870706042
802	0.2868776442
803	0.2865275028
804	0.2862160547
805	0.2858262718
806	0.2853839661
807	0.284842333
808	0.2843251407
809	0.2839979872
810	0.283515178
811	0.2831637113
812	0.2828743819
813	0.2824824848
814	0.2820628209
815	0.2817073033
816	0.281174546
817	0.2807658405
818	0.2801667829
819	0.2796960991
820	0.2794520839
821	0.2789907356
822	0.2786225846
823	0.2781774119
824	0.2776763591
825	0.277264765
826	0.2767778024
827	0.2764021327
828	0.2761522164
829	0.2757654452
830	0.2754691491
831	0.2753317768
832	0.2748954501
833	0.2744637128
834	0.2741659004
835	0.2739189769
836	0.2735066917
837	0.2731626878
838	0.2727772625
839	0.2724736728
840	0.2717923693
841	0.2715186242
842	0.2710880554
843	0.2709765509
844	0.2708447224
845	0.2705680393
846	0.2701275655
847	0.2696551978
848	0.2692341423
849	0.2690181002
850	0.2688217533
851	0.2685761779
852	0.2681730293
853	0.2677172396
854	0.2675432045
855	0.2671002915
856	0.2667914306
857	0.266364282
858	0.266046185
859	0.2657655288
860	0.2655004209
861	0.2651611703
862	0.2649607752
863	0.2647048827
864	0.2643637979
865	0.2639536003
866	0.2637845531
867	0.2633201814
868	0.2628783982
869	0.2624369156
870	0.262189552
871	0.2616469756
872	0.2611281724
873	0.2606152255
874	0.2603504409
875	0.2600030574
876	0.2596648967
877	0.2591680847
878	0.258857939
879	0.2585713351
880	0.2582394747
881	0.2579762582
882	0.2576120328
883	0.2572992142
884	0.256913886
885	0.2565517113
886	0.2561167696
887	0.2558321169
888	0.2555423176
889	0.2551239528
890	0.2547608466
891	0.2545937017
892	0.2542824418
893	0.2539720197
894	0.2536077126
895	0.2532999603
896	0.253007751
897	0.2526179529
898	0.2523933196
899	0.2517217053
900	0.2516119204
901	0.2513466833
902	0.2509800257
903	0.2506285272
904	0.2504815378
905	0.2502335125
906	0.2498669435
907	0.2495631877
908	0.2492684718
909	0.2489664258
910	0.2485708546
911	0.2482238336
912	0.2478304186
913	0.2476658213
914	0.2473877375
915	0.2471152932
916	0.2467416401
917	0.2463114407
918	0.2459324508
919	0.2456686127
920	0.2452605083
921	0.2450736161
922	0.2448316319
923	0.2444742878
924	0.2442885633
925	0.2440250335
926	0.2437720925
927	0.2434868921
928	0.2431257914
929	0.2427197098
930	0.2422205001
931	0.2419741456
932	0.2417615487
933	0.2415320794
934	0.2413831157
935	0.241091662
936	0.2406990816
937	0.2404738478
938	0.2400889205
939	0.2397660096
940	0.239442028
941	0.2391859053
942	0.2390470402
943	0.2387689045
944	0.2383467718
945	0.237993391
946	0.2377408032
947	0.2372883252
948	0.2370243065
949	0.2366288317
950	0.2363320885
951	0.2359853043
952	0.2356738276
953	0.2354752085
954	0.2350937309
955	0.2347055225
956	0.2342525019
957	0.2339032344
958	0.2336479037
959	0.2333070311
960	0.2328833408
961	0.2326326289
962	0.2324129876
963	0.2322518481
964	0.2319675293
965	0.231571543
966	0.2314037228
967	0.2309886145
968	0.2307839834
969	0.2305672433
970	0.2303469203
971	0.2301117115
972	0.2296913889
973	0.2294550574
974	0.2291860226
975	0.2288346761
976	0.2285019213
977	0.2283401266
978	0.2280220692
979	0.2278498381
980	0.2276040698
981	0.2272501191
982	0.2269283846
983	0.2265978683
984	0.2264131626
985	0.2261559759
986	0.2258130266
987	0.2255400214
988	0.2252925321
989	0.2249973996
990	0.2248030119
991	0.2244808228
992	0.2241889381
993	0.2240009954
994	0.2235817215
995	0.2233266447
996	0.2229223317
997	0.2226727656
998	0.2224127651
999	0.222159541
