iter	Passed	Remaining
0	3	3768
1	7	3755
2	11	3740
3	14	3711
4	18	3692
5	22	3807
6	27	3848
7	30	3820
8	34	3793
9	38	3821
10	42	3833
11	46	3817
12	50	3797
13	54	3834
14	58	3870
15	63	3916
16	67	3921
17	72	3931
18	76	3950
19	80	3950
20	84	3944
21	88	3951
22	92	3948
23	96	3920
24	100	3911
25	104	3911
26	108	3913
27	112	3898
28	116	3890
29	120	3892
30	124	3887
31	128	3875
32	131	3863
33	135	3861
34	139	3856
35	143	3841
36	147	3828
37	151	3836
38	155	3839
39	159	3830
40	163	3817
41	167	3820
42	171	3818
43	175	3808
44	178	3798
45	183	3802
46	187	3798
47	191	3789
48	194	3779
49	198	3779
50	203	3778
51	206	3768
52	210	3755
53	214	3755
54	218	3758
55	222	3753
56	226	3745
57	230	3744
58	234	3742
59	238	3737
60	242	3729
61	246	3733
62	250	3728
63	254	3723
64	258	3714
65	262	3714
66	266	3715
67	270	3711
68	274	3704
69	279	3707
70	283	3706
71	287	3700
72	290	3693
73	295	3693
74	299	3692
75	303	3684
76	306	3677
77	310	3675
78	315	3672
79	318	3665
80	322	3657
81	326	3657
82	330	3655
83	334	3649
84	338	3643
85	342	3643
86	346	3639
87	350	3635
88	354	3628
89	358	3629
90	363	3629
91	367	3629
92	371	3623
93	375	3621
94	379	3616
95	383	3609
96	386	3602
97	391	3600
98	395	3596
99	398	3589
100	402	3582
101	406	3579
102	410	3575
103	414	3570
104	418	3563
105	422	3559
106	426	3558
107	430	3553
108	434	3548
109	438	3547
110	442	3544
111	446	3539
112	450	3533
113	454	3530
114	458	3529
115	462	3525
116	466	3518
117	470	3514
118	474	3511
119	478	3507
120	482	3502
121	486	3499
122	490	3496
123	494	3492
124	498	3486
125	502	3482
126	506	3480
127	510	3476
128	514	3470
129	517	3466
130	522	3463
131	525	3457
132	529	3451
133	533	3447
134	537	3443
135	541	3439
136	545	3434
137	549	3429
138	553	3429
139	557	3425
140	561	3420
141	565	3415
142	569	3413
143	573	3410
144	577	3405
145	582	3404
146	586	3402
147	590	3398
148	593	3391
149	597	3387
150	602	3385
151	606	3381
152	609	3375
153	613	3371
154	617	3368
155	621	3362
156	625	3356
157	629	3352
158	632	3347
159	636	3343
160	640	3337
161	644	3332
162	648	3330
163	652	3326
164	656	3321
165	659	3315
166	664	3314
167	668	3311
168	672	3306
169	676	3301
170	680	3299
171	684	3297
172	688	3291
173	692	3287
174	696	3284
175	700	3280
176	704	3274
177	707	3268
178	712	3266
179	716	3263
180	720	3258
181	723	3253
182	728	3250
183	732	3246
184	735	3241
185	739	3235
186	743	3232
187	747	3229
188	751	3223
189	754	3218
190	759	3215
191	763	3211
192	766	3206
193	770	3201
194	774	3198
195	778	3194
196	782	3190
197	786	3185
198	790	3182
199	794	3179
200	799	3178
201	803	3173
202	807	3169
203	811	3166
204	815	3161
205	818	3156
206	827	3169
207	831	3164
208	834	3159
209	838	3155
210	842	3151
211	846	3147
212	850	3141
213	854	3138
214	858	3133
215	862	3129
216	865	3124
217	870	3122
218	874	3118
219	878	3114
220	882	3109
221	886	3105
222	890	3102
223	894	3097
224	897	3092
225	901	3088
226	905	3085
227	910	3081
228	913	3076
229	917	3071
230	921	3067
231	925	3063
232	929	3059
233	933	3054
234	937	3052
235	941	3048
236	945	3044
237	949	3040
238	953	3036
239	957	3033
240	961	3028
241	965	3024
242	969	3021
243	973	3017
244	977	3012
245	981	3008
246	985	3005
247	989	3000
248	993	2996
249	997	2992
250	1001	2988
251	1005	2984
252	1009	2979
253	1012	2973
254	1016	2970
255	1020	2966
256	1024	2961
257	1028	2957
258	1032	2953
259	1036	2949
260	1040	2944
261	1043	2940
262	1048	2937
263	1052	2933
264	1056	2929
265	1059	2924
266	1064	2921
267	1068	2918
268	1072	2913
269	1078	2916
270	1083	2915
271	1087	2911
272	1091	2907
273	1096	2904
274	1100	2900
275	1104	2896
276	1107	2890
277	1111	2887
278	1116	2884
279	1119	2879
280	1123	2874
281	1127	2871
282	1131	2867
283	1135	2863
284	1139	2858
285	1143	2854
286	1147	2850
287	1151	2846
288	1154	2841
289	1159	2838
290	1163	2834
291	1167	2830
292	1170	2825
293	1175	2821
294	1179	2818
295	1183	2814
296	1187	2810
297	1191	2806
298	1195	2802
299	1199	2798
300	1203	2793
301	1207	2789
302	1211	2786
303	1215	2782
304	1218	2777
305	1223	2773
306	1227	2770
307	1231	2767
308	1235	2762
309	1239	2759
310	1244	2756
311	1248	2752
312	1251	2747
313	1256	2744
314	1260	2741
315	1264	2736
316	1267	2731
317	1272	2728
318	1276	2725
319	1280	2721
320	1284	2716
321	1288	2714
322	1293	2711
323	1297	2706
324	1301	2702
325	1305	2698
326	1309	2694
327	1312	2689
328	1317	2686
329	1321	2682
330	1325	2678
331	1328	2673
332	1332	2669
333	1337	2666
334	1340	2661
335	1344	2656
336	1348	2652
337	1352	2648
338	1356	2644
339	1359	2639
340	1364	2636
341	1368	2633
342	1372	2629
343	1376	2624
344	1380	2620
345	1384	2617
346	1388	2613
347	1392	2608
348	1396	2605
349	1400	2601
350	1404	2596
351	1408	2592
352	1412	2588
353	1416	2584
354	1420	2580
355	1424	2576
356	1428	2573
357	1432	2569
358	1436	2564
359	1440	2560
360	1444	2556
361	1448	2552
362	1452	2548
363	1456	2544
364	1460	2540
365	1464	2536
366	1468	2532
367	1471	2527
368	1475	2523
369	1479	2519
370	1483	2515
371	1487	2511
372	1491	2506
373	1495	2502
374	1499	2498
375	1503	2494
376	1506	2490
377	1511	2486
378	1515	2483
379	1519	2478
380	1522	2474
381	1527	2470
382	1531	2467
383	1535	2462
384	1538	2457
385	1543	2454
386	1547	2450
387	1550	2446
388	1554	2441
389	1558	2438
390	1562	2434
391	1566	2430
392	1570	2425
393	1574	2422
394	1579	2418
395	1583	2414
396	1587	2411
397	1591	2407
398	1595	2403
399	1599	2399
400	1603	2394
401	1607	2391
402	1611	2387
403	1615	2383
404	1619	2378
405	1623	2375
406	1627	2370
407	1630	2366
408	1634	2362
409	1639	2358
410	1643	2355
411	1647	2351
412	1651	2347
413	1655	2343
414	1659	2339
415	1663	2335
416	1667	2331
417	1671	2327
418	1675	2323
419	1679	2318
420	1682	2314
421	1687	2310
422	1691	2307
423	1695	2302
424	1698	2298
425	1702	2294
426	1707	2290
427	1710	2286
428	1714	2282
429	1718	2278
430	1722	2274
431	1726	2269
432	1730	2265
433	1734	2261
434	1738	2258
435	1742	2253
436	1746	2249
437	1750	2246
438	1755	2242
439	1758	2238
440	1762	2234
441	1766	2230
442	1770	2226
443	1774	2222
444	1778	2217
445	1782	2214
446	1788	2212
447	1791	2207
448	1795	2203
449	1799	2199
450	1803	2195
451	1807	2191
452	1811	2187
453	1815	2183
454	1819	2179
455	1823	2174
456	1826	2170
457	1830	2166
458	1834	2162
459	1838	2158
460	1842	2154
461	1846	2150
462	1850	2146
463	1854	2142
464	1858	2137
465	1862	2134
466	1866	2130
467	1870	2126
468	1874	2122
469	1878	2118
470	1883	2115
471	1887	2110
472	1890	2106
473	1894	2102
474	1899	2098
475	1902	2094
476	1906	2090
477	1910	2086
478	1914	2082
479	1918	2078
480	1922	2074
481	1926	2070
482	1931	2067
483	1935	2063
