age,nationality,position,overall_rating,potential_rating,matches_played,goals,assists,minutes_played,market_value_million_eur,contract_years_left,injury_prone,transfer_risk_level,growth_dynamic,growth_percentage,avg_minutes_per_match,goals_per_90,assists_per_90,total_contributions,points_per_90,contract_expiry,contract_ration,career_phase,player_role_cluster,investment_class
23,4,8,65,87,8,6,14,2976,122.51,3,0,1,22,33.84615384615385,372.0,0.1814516129032258,0.42338709677419356,20,0.6048387096774194,26,0.13043478260869565,3,1,3
36,2,8,90,76,19,3,18,2609,88.47,5,0,0,14,-15.555555555555555,137.31578947368422,0.10348792640858566,0.6209275584515139,21,0.7244154848600995,41,0.1388888888888889,1,1,2
31,3,6,75,91,34,12,15,1158,20.24,3,0,2,16,21.333333333333336,34.05882352941177,0.9326424870466321,1.16580310880829,27,2.098445595854922,34,0.0967741935483871,1,2,1
27,6,5,90,86,35,18,13,145,164.29,0,1,2,4,-4.444444444444445,4.142857142857143,11.172413793103448,8.068965517241379,31,19.24137931034483,27,0.0,0,0,0
24,1,1,84,96,41,6,6,2226,121.34,4,0,1,12,14.285714285714285,54.292682926829265,0.24258760107816713,0.24258760107816713,12,0.48517520215633425,28,0.16666666666666666,3,2,2
37,0,2,92,91,35,9,7,263,98.51,5,1,1,1,-1.0869565217391304,7.514285714285714,3.079847908745247,2.3954372623574143,16,5.475285171102661,42,0.13513513513513514,1,0,0
23,5,6,72,66,53,24,6,4299,67.69,1,0,1,6,-8.333333333333332,81.11320754716981,0.5024424284717376,0.1256106071179344,30,0.628053035589672,24,0.043478260869565216,0,1,2
35,7,5,69,97,8,34,17,3101,24.71,0,0,1,28,40.57971014492754,387.625,0.9867784585617543,0.49338922928087714,51,1.4801676878426313,35,0.0,2,1,3
39,1,3,83,90,21,24,23,2106,127.5,3,1,0,7,8.433734939759036,100.28571428571429,1.0256410256410258,0.982905982905983,47,2.0085470085470085,42,0.07692307692307693,1,1,2
27,2,4,69,92,0,28,5,3080,146.55,1,0,0,23,33.33333333333333,0.0,0.8181818181818181,0.14610389610389612,33,0.9642857142857143,28,0.037037037037037035,0,0,3
27,7,4,90,83,4,11,18,987,23.08,0,0,0,7,-7.777777777777778,246.75,1.0030395136778114,1.641337386018237,29,2.6443768996960486,27,0.0,0,1,2
37,0,8,72,69,8,39,3,1347,89.27,2,0,2,3,-4.166666666666666,168.375,2.6057906458797326,0.20044543429844097,42,2.8062360801781736,39,0.05405405405405406,2,1,2
20,0,5,62,97,36,11,22,1360,87.53,5,0,2,35,56.451612903225815,37.77777777777778,0.7279411764705883,1.4558823529411766,33,2.183823529411765,25,0.25,3,2,3
24,3,2,93,84,37,5,2,2838,63.31,5,0,0,9,-9.67741935483871,76.70270270270271,0.15856236786469347,0.06342494714587738,7,0.2219873150105708,29,0.20833333333333334,3,1,2
19,7,2,87,94,18,9,16,1726,142.19,3,1,2,7,8.045977011494253,95.88888888888889,0.46929316338354576,0.8342989571263035,25,1.3035921205098495,22,0.15789473684210525,3,1,0
38,3,7,78,72,7,1,21,2289,18.37,0,1,2,6,-7.6923076923076925,327.0,0.039318479685452164,0.8256880733944955,22,0.8650065530799476,38,0.0,2,1,2
37,1,4,82,81,41,24,18,907,37.3,0,0,2,1,-1.2195121951219512,22.121951219512194,2.3814773980154356,1.7861080485115768,42,4.167585446527013,37,0.0,2,0,2
18,4,6,91,65,42,6,14,1183,0.79,3,1,2,26,-28.57142857142857,28.166666666666668,0.45646661031276414,1.0650887573964496,20,1.521555367709214,21,0.16666666666666666,3,0,2
28,4,5,72,67,31,39,5,2824,67.45,2,1,2,5,-6.944444444444445,91.09677419354838,1.2429178470254956,0.15934844192634562,44,1.4022662889518414,30,0.07142857142857142,2,1,2
22,4,2,92,90,12,22,11,1258,52.77,5,0,2,2,-2.1739130434782608,104.83333333333333,1.573926868044515,0.7869634340222575,33,2.360890302066773,27,0.22727272727272727,3,1,0
18,7,7,93,95,19,10,18,198,156.13,4,1,2,2,2.1505376344086025,10.421052631578947,4.545454545454545,8.181818181818182,28,12.727272727272727,22,0.2222222222222222,3,0,0
37,4,5,92,72,35,35,5,1056,134.37,2,1,0,20,-21.73913043478261,30.17142857142857,2.9829545454545454,0.42613636363636365,40,3.409090909090909,39,0.05405405405405406,2,2,2
17,1,0,64,72,42,22,10,2455,15.66,3,0,1,8,12.5,58.45238095238095,0.8065173116089613,0.3665987780040733,32,1.1731160896130346,20,0.17647058823529413,3,2,2
28,3,2,62,92,43,6,19,3365,133.5,4,1,2,30,48.38709677419355,78.25581395348837,0.16047548291233282,0.5081723625557206,25,0.6686478454680534,32,0.14285714285714285,1,1,3
38,7,0,66,68,36,26,19,1260,121.73,0,0,1,2,3.0303030303030303,35.0,1.8571428571428572,1.3571428571428572,45,3.214285714285714,38,0.0,2,2,2
28,3,5,83,80,29,12,9,3978,51.07,2,1,0,3,-3.614457831325301,137.17241379310346,0.2714932126696833,0.20361990950226247,21,0.47511312217194573,30,0.07142857142857142,2,1,2
33,7,2,81,77,9,16,15,2835,3.28,2,0,1,4,-4.938271604938271,315.0,0.507936507936508,0.47619047619047616,31,0.9841269841269842,35,0.06060606060606061,2,1,2
26,3,0,82,84,30,31,17,1313,21.17,5,0,1,2,2.4390243902439024,43.766666666666666,2.1249047981721247,1.1652703731911653,48,3.2901751713632903,31,0.19230769230769232,3,2,2
32,0,1,89,69,24,25,13,1902,45.36,5,0,0,20,-22.47191011235955,79.25,1.1829652996845426,0.6151419558359621,38,1.7981072555205049,37,0.15625,1,1,2
31,3,7,77,84,28,21,3,3975,147.08,4,1,2,7,9.090909090909092,141.96428571428572,0.4754716981132076,0.06792452830188679,24,0.5433962264150943,35,0.12903225806451613,1,1,2
31,4,6,91,88,23,12,11,577,84.02,0,0,1,3,-3.296703296703297,25.08695652173913,1.8717504332755635,1.7157712305025996,23,3.587521663778163,31,0.0,2,0,0
35,0,4,66,98,38,11,19,4430,165.35,2,0,1,32,48.484848484848484,116.57894736842105,0.2234762979683973,0.38600451467268626,30,0.6094808126410836,37,0.05714285714285714,2,1,3
28,3,7,92,98,20,6,22,1020,142.15,4,1,0,6,6.521739130434782,51.0,0.5294117647058824,1.9411764705882353,28,2.4705882352941178,32,0.14285714285714285,1,2,0
39,7,0,64,83,40,0,20,3653,52.04,2,1,1,19,29.6875,91.325,0.0,0.4927456884752258,20,0.4927456884752258,41,0.05128205128205128,2,1,1
36,7,2,87,81,8,32,7,3844,152.24,5,0,1,6,-6.896551724137931,480.5,0.749219562955255,0.16389177939646202,39,0.913111342351717,41,0.1388888888888889,1,1,2
19,5,1,67,69,41,13,6,3573,21.45,0,0,2,2,2.9850746268656714,87.14634146341463,0.32745591939546603,0.15113350125944583,19,0.47858942065491183,19,0.0,0,1,2
21,7,1,74,89,41,16,8,2293,6.98,0,0,2,15,20.27027027027027,55.926829268292686,0.6279982555604012,0.3139991277802006,24,0.9419973833406019,21,0.0,0,2,3
35,2,4,63,82,1,3,23,610,109.73,1,0,2,19,30.158730158730158,610.0,0.4426229508196722,3.39344262295082,26,3.8360655737704916,36,0.02857142857142857,2,1,1
23,1,1,93,72,3,38,24,328,61.84,4,1,2,21,-22.58064516129032,109.33333333333333,10.426829268292684,6.585365853658536,62,17.01219512195122,27,0.17391304347826086,3,1,2
37,7,7,64,91,7,0,16,546,59.63,5,0,0,27,42.1875,78.0,0.0,2.6373626373626373,16,2.6373626373626373,42,0.13513513513513514,1,1,3
25,0,1,92,79,31,23,9,338,123.85,5,0,0,13,-14.130434782608695,10.903225806451612,6.124260355029586,2.396449704142012,32,8.520710059171597,30,0.2,3,0,2
23,5,4,64,77,13,33,2,3181,153.09,5,0,2,13,20.3125,244.69230769230768,0.9336686576548255,0.056585979251807604,35,0.9902546369066332,28,0.21739130434782608,3,1,2
34,7,1,93,80,48,33,20,3041,58.33,3,1,1,13,-13.978494623655912,63.354166666666664,0.9766524169681026,0.591910555738244,53,1.5685629727063466,37,0.08823529411764706,1,2,2
20,2,1,85,86,12,23,24,806,58.84,2,1,2,1,1.1764705882352942,67.16666666666667,2.5682382133995034,2.6799007444168734,47,5.248138957816377,22,0.1,0,2,0
30,4,3,60,84,20,14,7,1033,96.33,0,0,2,24,40.0,51.65,1.2197483059051306,0.6098741529525653,21,1.8296224588576961,30,0.0,2,2,1
34,0,7,63,77,23,16,13,3273,117.75,2,0,2,14,22.22222222222222,142.30434782608697,0.4399633363886343,0.35747021081576535,29,0.7974335472043997,36,0.058823529411764705,2,1,2
25,2,0,85,84,49,12,6,3987,36.92,2,0,1,1,-1.1764705882352942,81.36734693877551,0.27088036117381487,0.13544018058690743,18,0.4063205417607223,27,0.08,0,1,2
37,4,8,92,66,17,6,15,3333,164.33,3,0,2,26,-28.26086956521739,196.05882352941177,0.162016201620162,0.40504050405040504,21,0.5670567056705671,40,0.08108108108108109,1,1,2
18,6,1,92,83,44,8,17,2740,117.97,0,0,0,9,-9.782608695652174,62.27272727272727,0.2627737226277372,0.5583941605839416,25,0.8211678832116788,18,0.0,0,2,2
36,6,6,67,70,39,34,10,1696,112.72,1,0,1,3,4.477611940298507,43.48717948717949,1.8042452830188678,0.5306603773584906,44,2.3349056603773586,37,0.027777777777777776,2,2,2
31,0,1,79,78,25,22,5,3650,162.8,5,0,2,1,-1.2658227848101267,146.0,0.5424657534246575,0.12328767123287672,27,0.6657534246575342,36,0.16129032258064516,1,1,2
23,3,3,75,68,31,38,19,2082,163.35,4,0,2,7,-9.333333333333334,67.16129032258064,1.6426512968299711,0.8213256484149856,57,2.4639769452449567,27,0.17391304347826086,3,2,2
28,1,0,80,86,43,22,20,1998,24.83,2,0,1,6,7.5,46.46511627906977,0.990990990990991,0.9009009009009009,42,1.891891891891892,30,0.07142857142857142,2,2,2
24,5,6,85,98,54,25,13,1685,26.54,3,1,2,13,15.294117647058824,31.203703703703702,1.3353115727002969,0.6943620178041543,38,2.029673590504451,27,0.125,3,2,0
31,1,6,82,91,52,0,20,1603,137.27,3,1,1,9,10.975609756097562,30.826923076923077,0.0,1.122894572676232,20,1.122894572676232,34,0.0967741935483871,1,2,2
19,2,7,77,71,32,13,12,4349,172.26,4,0,2,6,-7.792207792207792,135.90625,0.26902736261209476,0.24833295010347206,25,0.5173603127155668,23,0.21052631578947367,3,1,2
30,4,4,90,67,51,31,3,4112,120.14,4,0,2,23,-25.555555555555554,80.62745098039215,0.6785019455252919,0.06566147859922179,34,0.7441634241245136,34,0.13333333333333333,1,1,2
33,1,4,71,97,30,9,19,260,74.33,0,1,2,26,36.61971830985916,8.666666666666666,3.1153846153846154,6.5769230769230775,28,9.692307692307693,33,0.0,2,0,3
20,4,0,60,66,17,0,19,3796,123.18,2,0,1,6,10.0,223.2941176470588,0.0,0.4504741833508956,19,0.4504741833508956,22,0.1,0,1,2
34,4,4,68,80,34,4,10,2775,41.57,2,0,1,12,17.647058823529413,81.61764705882354,0.12972972972972974,0.32432432432432434,14,0.454054054054054,36,0.058823529411764705,2,1,2
24,2,5,62,89,11,2,17,500,179.63,4,0,2,27,43.54838709677419,45.45454545454545,0.36,3.06,19,3.42,28,0.16666666666666666,3,2,3
20,2,3,85,79,50,26,0,1015,77.88,5,0,1,6,-7.0588235294117645,20.3,2.3054187192118225,0.0,26,2.3054187192118225,25,0.25,3,0,2
18,2,8,68,88,24,21,11,2333,167.74,1,1,1,20,29.411764705882355,97.20833333333333,0.8101157308186884,0.42434633519074155,32,1.2344620660094299,19,0.05555555555555555,0,1,3
22,1,8,75,79,44,17,17,2054,77.83,2,1,1,4,5.333333333333334,46.68181818181818,0.744888023369036,0.744888023369036,34,1.489776046738072,24,0.09090909090909091,0,2,2
38,6,7,83,95,30,15,6,3963,167.1,3,0,2,12,14.457831325301203,132.1,0.34065102195306585,0.13626040878122633,21,0.4769114307342922,41,0.07894736842105263,1,1,2
26,2,7,73,78,9,1,11,3674,60.76,5,0,0,5,6.8493150684931505,408.22222222222223,0.024496461622210128,0.2694610778443114,12,0.2939575394665215,31,0.19230769230769232,3,1,2
