anime_id,anime_url,title,synopsis,genres,type,studio,aired_date,episodes,members,rating_class
2054,https://myanimelist.net2054,Anime Legend Chronicles Vol. 0,"In a world devastated by magic, a young warrior seeks revenge against the dark lord. Along the way, friends are made and lost!! [Episode ID: 13]","Drama, Slice of Life",TV,Studio_Alpha_216,"Mar 17, 1993",25.0,11088,High
29607,https://myanimelist.net29607,Anime Legend Chronicles Vol. 1,Space captain Jack navigates the dangerous outer rims of galaxy 9. Will he survive the alien invasion? Find out in 2026! [Episode ID: 41],Action,OVA,Studio_Alpha_226,Oct 2019,23.0,6628,Low
31862,https://myanimelist.net31862,Anime Legend Chronicles Vol. 2,A comedic slice-of-life story about five high school girls starting their own rock band... containing cute moments and songs. [Episode ID: 27],"Sci-Fi, Fantasy, Slice of Life, Action",TV,Studio_Alpha_55,Apr 1994,25.0,76016,Low
38766,https://myanimelist.net38766,Anime Legend Chronicles Vol. 3,"In a world devastated by magic, a young warrior seeks revenge against the dark lord. Along the way, friends are made and lost!! [Episode ID: 96]","Slice of Life, Thriller, Sci-Fi",Movie,Studio_Alpha_62,Feb 2002,,133003,High
46263,https://myanimelist.net46263,Anime Legend Chronicles Vol. 4,"A thrilling psychological game where players must bet their memories to win millions. Trust no one, betray everyone. [Episode ID: 21]","Adventure, Slice of Life, Romance",TV,Studio_Alpha_113,Apr 2010,9.0,74414,Low
56241,https://myanimelist.net56241,Anime Legend Chronicles Vol. 5,"A thrilling psychological game where players must bet their memories to win millions. Trust no one, betray everyone. [Episode ID: 64]","Sci-Fi, Thriller, Drama, Fantasy",Movie,Studio Pierrot,2007-01-14,2.0,479508,Low
96553,https://myanimelist.net96553,Anime Legend Chronicles Vol. 6,"In a world devastated by magic, a young warrior seeks revenge against the dark lord. Along the way, friends are made and lost!! [Episode ID: 13]",Supernatural,TV,Studio_Alpha_150,2011-02-03,26.0,3648,Low
25021,https://myanimelist.net25021,Anime Legend Chronicles Vol. 7,"In a world devastated by magic, a young warrior seeks revenge against the dark lord. Along the way, friends are made and lost!! [Episode ID: 37]",Slice of Life,OVA,Studio_Alpha_34,"Apr 21, 1993",4.0,180206,Low
54156,https://myanimelist.net54156,Anime Legend Chronicles Vol. 8,A comedic slice-of-life story about five high school girls starting their own rock band... containing cute moments and songs. [Episode ID: 74],"Slice of Life, Supernatural",OVA,Studio_Alpha_81,May 1991,,75281,Low
10922,https://myanimelist.net10922,Anime Legend Chronicles Vol. 9,"A thrilling psychological game where players must bet their memories to win millions. Trust no one, betray everyone. [Episode ID: 13]",Sci-Fi,TV,Studio_Alpha_35,Jan 1992,15.0,12408,High
77132,https://myanimelist.net77132,Anime Legend Chronicles Vol. 10,"A thrilling psychological game where players must bet their memories to win millions. Trust no one, betray everyone. [Episode ID: 35]",Sci-Fi,TV,Studio_Alpha_125,"Apr 07, 2016",38.0,225,Low
